"0","1","model_type","df_name","crime_category"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","0","GLMNET_PRECISION","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","0","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"1","0","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","NaN","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.96","0.82","SVM_PRECISION","mydtm_sparse_0.98","code_22_Drugs"
"0.99","0.39","SVM_RECALL","mydtm_sparse_0.98","code_22_Drugs"
"0.97","0.53","SVM_FSCORE","mydtm_sparse_0.98","code_22_Drugs"
"0.94","1","FORESTS_PRECISION","mydtm_sparse_0.98","code_22_Drugs"
"1","0.19","FORESTS_RECALL","mydtm_sparse_0.98","code_22_Drugs"
"0.97","0.32","FORESTS_FSCORE","mydtm_sparse_0.98","code_22_Drugs"
"0.96","0.82","GLMNET_PRECISION","mydtm_sparse_0.98","code_22_Drugs"
"0.99","0.4","GLMNET_RECALL","mydtm_sparse_0.98","code_22_Drugs"
"0.97","0.54","GLMNET_FSCORE","mydtm_sparse_0.98","code_22_Drugs"
"0.96","0.61","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_22_Drugs"
"0.98","0.47","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_22_Drugs"
"0.97","0.53","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_22_Drugs"
"0.97","0.9","SVM_PRECISION","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"1","0.52","SVM_RECALL","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.98","0.66","SVM_FSCORE","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.97","0.93","FORESTS_PRECISION","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"1","0.52","FORESTS_RECALL","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.98","0.67","FORESTS_FSCORE","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.97","0.86","GLMNET_PRECISION","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"1","0.46","GLMNET_RECALL","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.98","0.6","GLMNET_FSCORE","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.98","0.72","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.99","0.61","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.98","0.66","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_23_Chicago Public Schools"
"0.94","0.85","SVM_PRECISION","mydtm_sparse_0.98","code_24_Gangs"
"1","0.26","SVM_RECALL","mydtm_sparse_0.98","code_24_Gangs"
"0.97","0.4","SVM_FSCORE","mydtm_sparse_0.98","code_24_Gangs"
"0.93","0.78","FORESTS_PRECISION","mydtm_sparse_0.98","code_24_Gangs"
"1","0.17","FORESTS_RECALL","mydtm_sparse_0.98","code_24_Gangs"
"0.96","0.28","FORESTS_FSCORE","mydtm_sparse_0.98","code_24_Gangs"
"0.95","0.84","GLMNET_PRECISION","mydtm_sparse_0.98","code_24_Gangs"
"0.99","0.38","GLMNET_RECALL","mydtm_sparse_0.98","code_24_Gangs"
"0.97","0.52","GLMNET_FSCORE","mydtm_sparse_0.98","code_24_Gangs"
"0.95","0.39","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_24_Gangs"
"0.92","0.52","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_24_Gangs"
"0.93","0.45","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_24_Gangs"
"0.96","0.5","SVM_PRECISION","mydtm_sparse_0.98","code_25_Illinois State Police"
"1","0.08","SVM_RECALL","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.98","0.14","SVM_FSCORE","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.96","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_25_Illinois State Police"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.98","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.96","0","GLMNET_PRECISION","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.99","0","GLMNET_RECALL","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.97","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.98","0.5","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.98","0.46","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.98","0.48","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_25_Illinois State Police"
"0.88","0.84","SVM_PRECISION","mydtm_sparse_0.98","code_26_Homicides"
"0.94","0.7","SVM_RECALL","mydtm_sparse_0.98","code_26_Homicides"
"0.91","0.76","SVM_FSCORE","mydtm_sparse_0.98","code_26_Homicides"
"0.92","0.84","FORESTS_PRECISION","mydtm_sparse_0.98","code_26_Homicides"
"0.94","0.8","FORESTS_RECALL","mydtm_sparse_0.98","code_26_Homicides"
"0.93","0.82","FORESTS_FSCORE","mydtm_sparse_0.98","code_26_Homicides"
"0.89","0.88","GLMNET_PRECISION","mydtm_sparse_0.98","code_26_Homicides"
"0.96","0.71","GLMNET_RECALL","mydtm_sparse_0.98","code_26_Homicides"
"0.92","0.79","GLMNET_FSCORE","mydtm_sparse_0.98","code_26_Homicides"
"0.88","0.74","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_26_Homicides"
