152428,4500 block of North Kedzie,,,593584
152429,Grand Boulevard neighborhood,,,593584
152430,South Side. Officers,,,593584
152431,4500 block of South Evans,,,593584
152432,5200 block of South Carpenter,,,593584
152433,Englewood,,,593584
152434,7300 block of South Damen,,,593584
152435,Town. About,,,593584
152436,"1300 block of West Chicago,",,,593584
152437,"North Lawndale neighborhood. Nabil Batroukh, 64,",,,593584
152438,1500 block of South Lawndale,,,593584
152439,6200 block of South Kilpatrick,,,593584
152440,Clearing,,,593584
152441,Southwest Side. Giovanni,,,593584
157842,of,,,603896
157843,Swon,,,603896
162464,Village,,,612776
162465,"2800 block of South Avers,",,,612776
163201,Who,,,614120
163269,Medical Center,,,614179
174016,Morgan Park,,,629862
174017,Far South Side. She,,,629862
174018,1600 block of West 115th Place,,,629862
175865,Far South Side,,,632662
175866,block of South Eggleston,,,632662
176039,Street,,,632886
176040,The,,,632886
176041,“That,,,632886
198107,3700 block of South Damen,,,660608
198108,"block of North Latrobe Avenue,",,,660608
206532,3900 block of West Grenshaw.,,,668643
219217,West Garfield Park neighborhood. The,,,680518
219218,Kostner,,,680518
219219,"4300 block of West Adams,",,,680518
219305,block of 81st Court,,,680698
219306,Palos,,,680698
219307,Department,,,680698
219308,"Correction,",,,680698
237980,North Wabash,,,698834
245577,Northwest Side. He,,,706598
250952,Expressway,,,712975
250953,West Side. Someone,,,712975
262500,800 block of North Michigan Avenue; *,,,727056
262501,1700 block of West Wabansia; *,,,727056
262502,700 block of West Hubbard; *,,,727056
262503,3500 block of North Clark; *,,,727056
262504,1900 block of North Lincoln; *,,,727056
262505,700 block of North Armour;,,,727056
262506,1300 block of North Bosworth. The,,,727056
329016,gallery of,,,801847
329017,City Council,,,801847
383244,Police,,,869716
